NA      | 103.29.63.253    | NA                  | LK | apnic    | 2011-05-17 | NA
6848    | 94.227.82.192    | 94.224.0.0/14       | BE | ripencc  | 2008-09-18 | TELENET-AS Telenet N.V.,BE
6849    | 178.92.56.14     | 178.92.56.0/22      | UA | ripencc  | 2009-12-15 | UKRTELNET PJSC UKRTELECOM,UA
6849    | 178.94.249.32    | 178.94.248.0/22     | UA | ripencc  | 2009-12-15 | UKRTELNET PJSC UKRTELECOM,UA
6849    | 94.179.53.96     | 94.179.0.0/18       | UA | ripencc  | 2008-08-29 | UKRTELNET PJSC UKRTELECOM,UA
6849    | 95.132.229.242   | 95.132.228.0/22     | UA | ripencc  | 2009-01-23 | UKRTELNET PJSC UKRTELECOM,UA
6849    | 95.132.98.20     | 95.132.0.0/14       | UA | ripencc  | 2009-01-23 | UKRTELNET PJSC UKRTELECOM,UA
6849    | 95.134.26.169    | 95.134.0.0/18       | UA | ripencc  | 2009-01-23 | UKRTELNET PJSC UKRTELECOM,UA
6849    | 95.134.42.9      | 95.134.0.0/18       | UA | ripencc  | 2009-01-23 | UKRTELNET PJSC UKRTELECOM,UA
6849    | 95.135.229.75    | 95.135.228.0/23     | UA | ripencc  | 2009-01-23 | UKRTELNET PJSC UKRTELECOM,UA
6855    | 178.40.76.137    | 178.40.0.0/15       | SK | ripencc  | 2010-02-02 | Slovak Telecom, a. s.,SK
6855    | 195.146.134.84   | 195.146.128.0/19    | SK | ripencc  |            | Slovak Telecom, a. s.,SK
6855    | 78.98.207.38     | 78.98.0.0/15        | SK | ripencc  | 2007-05-02 | Slovak Telecom, a. s.,SK
6855    | 87.197.122.78    | 87.197.0.0/16       | SK | ripencc  | 2005-06-29 | Slovak Telecom, a. s.,SK
6855    | 87.197.160.239   | 87.197.0.0/16       | SK | ripencc  | 2005-06-29 | Slovak Telecom, a. s.,SK
6855    | 95.102.132.220   | 95.102.0.0/15       | SK | ripencc  | 2009-02-09 | Slovak Telecom, a. s.,SK
6855    | 95.102.138.168   | 95.102.0.0/15       | SK | ripencc  | 2009-02-09 | Slovak Telecom, a. s.,SK
6856    | 195.98.73.45     | 195.98.64.0/20      | RU | ripencc  |            | IC-VORONEZH-AS IC-VORONEZH,RU
6866    | 176.92.65.240    | 176.92.0.0/16       | CY | ripencc  | 2011-07-06 | CYTA-NETWORK Cyprus Telecommunications Authority,CY
6866    | 46.103.121.105   | 46.103.0.0/17       | CY | ripencc  | 2010-06-29 | CYTA-NETWORK Cyprus Telecommunications Authority,CY
6866    | 46.103.58.97     | 46.103.0.0/17       | CY | ripencc  | 2010-06-29 | CYTA-NETWORK Cyprus Telecommunications Authority,CY
6866    | 46.198.168.2     | 46.198.160.0/19     | CY | ripencc  | 2010-12-21 | CYTA-NETWORK Cyprus Telecommunications Authority,CY
6866    | 77.69.26.122     | 77.69.0.0/18        | GR | ripencc  | 2007-02-08 | CYTA-NETWORK Cyprus Telecommunications Authority,CY
6866    | 77.69.60.60      | 77.69.0.0/18        | GR | ripencc  | 2007-02-08 | CYTA-NETWORK Cyprus Telecommunications Authority,CY
6866    | 77.69.63.253     | 77.69.0.0/18        | GR | ripencc  | 2007-02-08 | CYTA-NETWORK Cyprus Telecommunications Authority,CY
6866    | 77.69.7.242      | 77.69.0.0/18        | GR | ripencc  | 2007-02-08 | CYTA-NETWORK Cyprus Telecommunications Authority,CY
6866    | 78.87.187.223    | 78.87.128.0/17      | GR | ripencc  | 2007-05-04 | CYTA-NETWORK Cyprus Telecommunications Authority,CY
6866    | 78.87.57.116     | 78.87.0.0/17        | GR | ripencc  | 2007-05-04 | CYTA-NETWORK Cyprus Telecommunications Authority,CY
6867    | 147.52.2.242     | 147.52.0.0/16       | GR | ripencc  |            | UCNET University of Crete,GR
6871    | 146.199.145.68   | 146.199.0.0/16      | US | arin     |            | PLUSNET PlusNet plc.,GB
6871    | 146.199.175.165  | 146.199.0.0/16      | US | arin     |            | PLUSNET PlusNet plc.,GB
6871    | 146.200.3.120    | 146.200.0.0/16      | US | arin     |            | PLUSNET PlusNet plc.,GB
6871    | 146.200.3.120    | 146.200.0.0/16      | US | arin     |            | PLUSNET PlusNet plc.,GB
6871    | 212.159.12.175   | 212.159.0.0/19      | GB | ripencc  |            | PLUSNET PlusNet plc.,GB
6871    | 212.159.126.79   | 212.159.64.0/18     | GB | ripencc  |            | PLUSNET PlusNet plc.,GB
6871    | 212.159.26.200   | 212.159.0.0/19      | GB | ripencc  |            | PLUSNET PlusNet plc.,GB
6871    | 212.159.66.18    | 212.159.64.0/18     | GB | ripencc  |            | PLUSNET PlusNet plc.,GB
6871    | 212.159.86.120   | 212.159.64.0/18     | GB | ripencc  |            | PLUSNET PlusNet plc.,GB
6871    | 212.56.95.237    | 212.56.64.0/18      | GB | ripencc  |            | PLUSNET PlusNet plc.,GB
6871    | 217.32.176.197   | 217.32.176.0/22     | GB | ripencc  | 2000-09-20 | PLUSNET PlusNet plc.,GB
6871    | 37.152.225.91    | 37.152.192.0/18     | GB | ripencc  | 2012-03-12 | PLUSNET PlusNet plc.,GB
6871    | 37.152.235.142   | 37.152.192.0/18     | GB | ripencc  | 2012-03-12 | PLUSNET PlusNet plc.,GB
6871    | 46.208.34.226    | 46.208.0.0/16       | GB | ripencc  | 2010-12-01 | PLUSNET PlusNet plc.,GB
6871    | 80.189.142.101   | 80.189.0.0/16       | GB | ripencc  | 2002-07-08 | PLUSNET PlusNet plc.,GB
6871    | 80.229.217.30    | 80.229.0.0/16       | GB | ripencc  | 2003-10-17 | PLUSNET PlusNet plc.,GB
6871    | 80.229.225.26    | 80.229.0.0/16       | GB | ripencc  | 2003-10-17 | PLUSNET PlusNet plc.,GB
6871    | 80.229.232.209   | 80.229.0.0/16       | GB | ripencc  | 2003-10-17 | PLUSNET PlusNet plc.,GB
6871    | 81.174.170.1     | 81.174.128.0/17     | GB | ripencc  | 2003-02-28 | PLUSNET PlusNet plc.,GB
6871    | 81.174.243.249   | 81.174.128.0/17     | GB | ripencc  | 2003-02-28 | PLUSNET PlusNet plc.,GB
6871    | 81.174.253.200   | 81.174.128.0/17     | GB | ripencc  | 2003-02-28 | PLUSNET PlusNet plc.,GB
6871    | 84.51.138.254    | 84.51.128.0/18      | GB | ripencc  | 2004-10-28 | PLUSNET PlusNet plc.,GB
6871    | 84.92.213.183    | 84.92.0.0/15        | GB | ripencc  | 2004-05-18 | PLUSNET PlusNet plc.,GB
6871    | 84.92.42.85      | 84.92.0.0/15        | GB | ripencc  | 2004-05-18 | PLUSNET PlusNet plc.,GB
6871    | 84.92.43.193     | 84.92.0.0/15        | GB | ripencc  | 2004-05-18 | PLUSNET PlusNet plc.,GB
6871    | 84.92.65.68      | 84.92.0.0/15        | GB | ripencc  | 2004-05-18 | PLUSNET PlusNet plc.,GB
6871    | 87.112.122.176   | 87.112.0.0/16       | GB | ripencc  | 2005-07-29 | PLUSNET PlusNet plc.,GB
6871    | 91.125.139.32    | 91.125.0.0/16       | GB | ripencc  | 2006-10-09 | PLUSNET PlusNet plc.,GB
6876    | 195.138.76.233   | 195.138.64.0/19     | UA | ripencc  |            | TENET-AS TeNeT Scientific Production Enterprise LLC,UA
6876    | 212.178.14.210   | 212.178.0.0/19      | UA | ripencc  | 2008-07-14 | TENET-AS TeNeT Scientific Production Enterprise LLC,UA
6876    | 85.238.101.70    | 85.238.96.0/19      | UA | ripencc  | 2005-06-01 | TENET-AS TeNeT Scientific Production Enterprise LLC,UA
6876    | 85.238.106.244   | 85.238.96.0/19      | UA | ripencc  | 2005-06-01 | TENET-AS TeNeT Scientific Production Enterprise LLC,UA
6881    | 195.47.235.60    | 195.47.235.0/24     | CZ | ripencc  | 2003-05-08 | NIXCZ NIX.CZ z.s.p.o.,CZ
6881    | 93.190.128.178   | 93.190.128.0/21     | CZ | ripencc  | 2008-05-16 | NIXCZ NIX.CZ z.s.p.o.,CZ
6886    | 212.66.32.150    | 212.66.32.0/20      | UA | ripencc  |            | INTS-ASN INTS,UA
6893    | 62.220.135.196   | 62.220.128.0/19     | CH | ripencc  | 2000-06-27 | SAITIS-NETWORK Saitis Network, N.Desir,CH
6898    | 31.44.38.69      | 31.44.32.0/20       | CH | ripencc  | 2011-02-24 | INTERNETONE_CH Swiss Engineering Laboratories SA,CH
6908    | 217.10.140.138   | 217.10.128.0/19     | GB | ripencc  | 2000-08-14 | DATAHOP Six Degrees Managed Data Limited,GB
6908    | 217.10.140.62    | 217.10.128.0/19     | GB | ripencc  | 2000-08-14 | DATAHOP Six Degrees Managed Data Limited,GB
6908    | 217.10.140.66    | 217.10.128.0/19     | GB | ripencc  | 2000-08-14 | DATAHOP Six Degrees Managed Data Limited,GB
6908    | 217.10.140.74    | 217.10.128.0/19     | GB | ripencc  | 2000-08-14 | DATAHOP Six Degrees Managed Data Limited,GB
6908    | 217.10.140.90    | 217.10.128.0/19     | GB | ripencc  | 2000-08-14 | DATAHOP Six Degrees Managed Data Limited,GB
6908    | 46.252.65.2      | 46.252.64.0/20      | GB | ripencc  | 2010-12-20 | DATAHOP Six Degrees Managed Data Limited,GB
6908    | 78.41.154.22     | 78.41.152.0/21      | GB | ripencc  | 2007-08-13 | DATAHOP Six Degrees Managed Data Limited,GB
6908    | 82.147.19.52     | 82.147.0.0/19       | GB | ripencc  | 2003-06-27 | DATAHOP Six Degrees Managed Data Limited,GB
6939    | 184.105.25.122   | 184.105.16.0/20     | US | arin     | 2010-05-10 | HURRICANE - Hurricane Electric, Inc.,US
6939    | 209.51.186.5     | 209.51.160.0/19     | US | arin     |            | HURRICANE - Hurricane Electric, Inc.,US
6939    | 72.52.113.10     | 72.52.64.0/18       | US | arin     | 2006-08-04 | HURRICANE - Hurricane Electric, Inc.,US
7018    | 104.176.80.21    | 104.176.0.0/12      | US | arin     | 2014-08-12 | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 104.54.198.28    | 104.48.0.0/12       | US | arin     | 2014-05-06 | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 107.129.155.162  | 107.128.0.0/12      | US | arin     | 2013-10-23 | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 107.130.64.185   | 107.128.0.0/12      | US | arin     | 2013-10-23 | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 107.203.101.14   | 107.192.0.0/12      | US | arin     | 2012-04-25 | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 108.195.89.236   | 108.192.0.0/10      | US | arin     | 2011-01-12 | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 108.197.34.5     | 108.192.0.0/10      | US | arin     | 2011-01-12 | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 108.217.53.158   | 108.192.0.0/10      | US | arin     | 2011-01-12 | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 108.221.47.81    | 108.192.0.0/10      | US | arin     | 2011-01-12 | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 108.222.120.191  | 108.192.0.0/10      | US | arin     | 2011-01-12 | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 108.86.149.178   | 108.64.0.0/11       | US | arin     | 2009-10-29 | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 108.90.61.132    | 108.64.0.0/11       | US | arin     | 2009-10-29 | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 108.91.27.124    | 108.64.0.0/11       | US | arin     | 2009-10-29 | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 12.0.1.55        | 12.0.0.0/9          | US | arin     |            | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 12.12.144.130    | 12.0.0.0/9          | US | arin     |            | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 162.199.89.49    | 162.192.0.0/12      | US | arin     | 2013-03-01 | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 162.205.14.95    | 162.192.0.0/12      | US | arin     | 2013-03-01 | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 162.226.230.169  | 162.224.0.0/12      | US | arin     | 2013-05-21 | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 162.236.89.18    | 162.224.0.0/12      | US | arin     | 2013-05-21 | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 172.10.12.5      | 172.0.0.0/12        | US | arin     | 2012-08-20 | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 172.15.153.53    | 172.0.0.0/12        | US | arin     | 2012-08-20 | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 45.19.189.235    | 45.16.0.0/12        | US | arin     | 2014-12-11 | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 45.26.126.41     | 45.16.0.0/12        | US | arin     | 2014-12-11 | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 67.124.235.156   | 67.112.0.0/12       | US | arin     | 2001-10-16 | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 71.155.150.229   | 71.128.0.0/11       | US | arin     | 2005-01-11 | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 75.16.178.127    | 75.0.0.0/11         | US | arin     | 2006-02-28 | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 75.38.121.60     | 75.32.0.0/12        | US | arin     | 2006-02-28 | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 99.100.84.64     | 99.96.0.0/11        | US | arin     | 2008-02-25 | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 99.102.122.245   | 99.96.0.0/11        | US | arin     | 2008-02-25 | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 99.110.210.209   | 99.96.0.0/11        | US | arin     | 2008-02-25 | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 99.110.51.88     | 99.96.0.0/11        | US | arin     | 2008-02-25 | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 99.129.232.92    | 99.128.0.0/11       | US | arin     | 2007-08-29 | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 99.2.168.69      | 99.0.0.0/12         | US | arin     | 2008-02-25 | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 99.22.6.116      | 99.16.0.0/12        | US | arin     | 2008-02-25 | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 99.38.161.1      | 99.32.0.0/12        | US | arin     | 2008-02-25 | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 99.45.114.249    | 99.32.0.0/12        | US | arin     | 2008-02-25 | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 99.8.185.71      | 99.0.0.0/12         | US | arin     | 2008-02-25 | ATT-INTERNET4 - AT&T Services, Inc.,US
7018    | 99.98.156.212    | 99.96.0.0/11        | US | arin     | 2008-02-25 | ATT-INTERNET4 - AT&T Services, Inc.,US
7029    | 67.140.28.131    | 67.140.0.0/15       | US | arin     | 2003-11-18 | WINDSTREAM - Windstream Communications Inc,US
7029    | 71.30.232.116    | 71.28.0.0/14        | US | arin     | 2005-03-16 | WINDSTREAM - Windstream Communications Inc,US
7029    | 75.90.74.155     | 75.88.0.0/14        | US | arin     | 2006-10-17 | WINDSTREAM - Windstream Communications Inc,US
7050    | 129.89.130.59    | 129.89.0.0/16       | US | arin     |            | UW-MILWAUKEE-AS1 - University of Wisconsin - Milwaukee,US
7057    | 216.8.147.23     | 216.8.128.0/19      | CA | arin     | 2001-01-04 | MANAGEDNETWORK - Managed Network Systems Inc.,CA
7065    | 168.150.236.43   | 168.150.236.0/24    | US | arin     |            | SONOMA - Sonoma Interconnect,US
7065    | 50.0.7.154       | 50.0.4.0/22         | US | arin     | 2010-07-06 | SONOMA - Sonoma Interconnect,US
7122    | 205.200.228.156  | 205.200.0.0/16      | CA | arin     |            | MTS-ASN - MTS Allstream Inc.,CA
7122    | 64.4.71.18       | 64.4.64.0/19        | CA | arin     |            | MTS-ASN - MTS Allstream Inc.,CA
7131    | 210.23.90.119    | 210.23.90.0/24      | MP | apnic    | 2006-06-26 | ERX-ITE-AS IT&E Overseas,GU
7155    | 172.242.182.105  | 172.242.176.0/20    | US | arin     | 2013-04-11 | WB-DEN2 - ViaSat,Inc.,US
7155    | 184.63.222.218   | 184.63.220.0/22     | US | arin     | 2009-12-18 | WB-DEN2 - ViaSat,Inc.,US
7155    | 198.45.137.180   | 198.45.136.0/22     | US | arin     | 2012-10-10 | WB-DEN2 - ViaSat,Inc.,US
7155    | 75.105.63.200    | 75.105.60.0/22      | US | arin     | 2006-07-20 | WB-DEN2 - ViaSat,Inc.,US
7155    | 95.210.75.101    | 95.210.0.0/16       | IT | ripencc  | 2009-02-03 | WB-DEN2 - ViaSat,Inc.,US
7203    | 209.58.135.163   | 209.58.128.0/21     | US | arin     |            | LEASEWEB-US - Leaseweb USA, Inc.,US
7303    | 181.91.145.169   | 181.91.144.0/20     | AR | lacnic   | 2011-09-19 | Telecom Argentina S.A.,AR
7303    | 181.95.49.197    | 181.95.48.0/21      | AR | lacnic   | 2011-09-19 | Telecom Argentina S.A.,AR
7303    | 190.136.61.174   | 190.136.56.0/21     | AR | lacnic   | 2006-12-08 | Telecom Argentina S.A.,AR
7303    | 200.117.149.147  | 200.117.144.0/20    | AR | lacnic   | 2003-12-23 | Telecom Argentina S.A.,AR
7366    | 199.7.183.254    | 199.7.176.0/21      | US | arin     | 2010-06-15 | LEMURIACO - Lemuria Communications Inc.,US
7377    | 169.228.127.14   | 169.228.0.0/16      | US | arin     |            | UCSD - University of California, San Diego,US
7418    | 190.22.169.175   | 190.22.0.0/16       | CL | lacnic   | 2007-10-05 | TELEFÓNICA CHILE S.A.,CL
7418    | 201.222.139.131  | 201.222.128.0/18    | CL | lacnic   | 2005-08-16 | TELEFÓNICA CHILE S.A.,CL
7420    | 196.46.205.138   | 196.46.204.0/22     | ZM | afrinic  | 2003-10-24 | ZAMNET-AS,ZM
7459    | 216.82.220.174   | 216.82.192.0/19     | US | arin     | 2000-06-13 | GRANDECOM-AS1 - Grande Communications Networks, LLC,US
7470    | 110.170.165.82   | 110.170.160.0/19    | TH | apnic    | 2009-04-23 | TRUEINTERNET-AS-AP TRUE INTERNET Co.,Ltd.,TH
7470    | 203.144.255.171  | 203.144.255.0/24    | TH | apnic    |            | TRUEINTERNET-AS-AP TRUE INTERNET Co.,Ltd.,TH
7470    | 61.91.70.131     | 61.91.64.0/18       | TH | apnic    | 2004-06-25 | TRUEINTERNET-AS-AP TRUE INTERNET Co.,Ltd.,TH
7477    | 180.181.97.57    | 180.181.0.0/17      | AU | apnic    | 2009-09-15 | TEREDONN-AS-AP SkyMesh Pty Ltd,AU
7514    | 210.198.22.236   | 210.198.0.0/19      | JP | apnic    |            | MEX Computer Engineering & Consulting, Ltd.,JP
7522    | 183.176.112.22   | 183.176.0.0/16      | JP | apnic    | 2009-11-26 | STCN STNet, Incorporated,JP
7527    | 210.171.226.102  | 210.171.224.0/20    | JP | apnic    |            | JPIX Japan Internet Exchange Co., Ltd.,JP
7545    | 14.200.107.190   | 14.200.107.0/24     | AU | apnic    | 2010-09-14 | TPG-INTERNET-AP TPG Telecom Limited,AU
7545    | 14.201.71.87     | 14.201.71.0/24      | AU | apnic    | 2010-09-14 | TPG-INTERNET-AP TPG Telecom Limited,AU
7545    | 14.202.114.133   | 14.202.114.0/24     | AU | apnic    | 2010-09-14 | TPG-INTERNET-AP TPG Telecom Limited,AU
7545    | 14.202.223.51    | 14.202.223.0/24     | AU | apnic    | 2010-09-14 | TPG-INTERNET-AP TPG Telecom Limited,AU
7545    | 203.213.76.106   | 203.213.76.0/23     | AU | apnic    | 2002-04-10 | TPG-INTERNET-AP TPG Telecom Limited,AU
7545    | 203.29.148.174   | 203.29.148.0/24     | AU | apnic    |            | TPG-INTERNET-AP TPG Telecom Limited,AU
7545    | 27.33.196.121    | 27.33.196.0/23      | AU | apnic    | 2010-03-18 | TPG-INTERNET-AP TPG Telecom Limited,AU
7545    | 60.241.39.30     | 60.241.38.0/23      | AU | apnic    | 2005-06-01 | TPG-INTERNET-AP TPG Telecom Limited,AU
7570    | 138.44.16.50     | 138.44.16.0/23      | AU | apnic    |            | AARNET-NSW-RNO Australian Academic and Reasearch Network (AARNet),AU
7575    | 113.197.10.68    | 113.197.0.0/20      | AU | apnic    | 2008-11-21 | AARNET-AS-AP Australian Academic and Reasearch Network (AARNet),AU
7575    | 202.6.112.75     | 202.6.112.0/24      | AU | apnic    |            | AARNET-AS-AP Australian Academic and Reasearch Network (AARNet),AU
7575    | 203.143.170.8    | 203.143.160.0/20    | AU | apnic    | 2005-06-03 | AARNET-AS-AP Australian Academic and Reasearch Network (AARNet),AU
7590    | 210.56.11.202    | 210.56.11.0/24      | PK | apnic    |            | COMSATS Commission on Science and Technology for,PK
7642    | 123.176.1.4      | 123.176.1.0/24      | MV | apnic    | 2007-03-01 | DHIRAAGU-MV-AP Dhivehi Raajjeyge Gulhun (Dhiraagu),MV
7642    | 123.176.25.162   | 123.176.25.0/24     | MV | apnic    | 2007-03-01 | DHIRAAGU-MV-AP Dhivehi Raajjeyge Gulhun (Dhiraagu),MV
7642    | 123.176.29.17    | 123.176.29.0/24     | MV | apnic    | 2007-03-01 | DHIRAAGU-MV-AP Dhivehi Raajjeyge Gulhun (Dhiraagu),MV
7642    | 123.176.29.7     | 123.176.29.0/24     | MV | apnic    | 2007-03-01 | DHIRAAGU-MV-AP Dhivehi Raajjeyge Gulhun (Dhiraagu),MV
7642    | 124.195.192.37   | 124.195.192.0/24    | MV | apnic    | 2008-04-17 | DHIRAAGU-MV-AP Dhivehi Raajjeyge Gulhun (Dhiraagu),MV
7642    | 124.195.194.2    | 124.195.194.0/24    | MV | apnic    | 2008-04-17 | DHIRAAGU-MV-AP Dhivehi Raajjeyge Gulhun (Dhiraagu),MV
7642    | 124.195.194.2    | 124.195.194.0/24    | MV | apnic    | 2008-04-17 | DHIRAAGU-MV-AP Dhivehi Raajjeyge Gulhun (Dhiraagu),MV
7642    | 124.195.209.99   | 124.195.209.0/24    | MV | apnic    | 2008-04-17 | DHIRAAGU-MV-AP Dhivehi Raajjeyge Gulhun (Dhiraagu),MV
7642    | 203.104.29.82    | 203.104.29.0/24     | MV | apnic    | 2006-03-14 | DHIRAAGU-MV-AP Dhivehi Raajjeyge Gulhun (Dhiraagu),MV
7642    | 27.114.131.17    | 27.114.131.0/24     | MV | apnic    | 2010-07-12 | DHIRAAGU-MV-AP Dhivehi Raajjeyge Gulhun (Dhiraagu),MV
7642    | 27.114.161.160   | 27.114.161.0/24     | MV | apnic    | 2010-07-12 | DHIRAAGU-MV-AP Dhivehi Raajjeyge Gulhun (Dhiraagu),MV
7642    | 27.114.173.230   | 27.114.173.0/24     | MV | apnic    | 2010-07-12 | DHIRAAGU-MV-AP Dhivehi Raajjeyge Gulhun (Dhiraagu),MV
7642    | 27.114.187.98    | 27.114.187.0/24     | MV | apnic    | 2010-07-12 | DHIRAAGU-MV-AP Dhivehi Raajjeyge Gulhun (Dhiraagu),MV
7657    | 47.72.120.9      | 47.72.0.0/16        | US | arin     | 2012-05-15 | VODAFONE-NZ-NGN-AS Vodafone NZ Ltd.,NZ
7718    | 180.200.183.45   | 180.200.128.0/18    | AU | apnic    | 2010-06-11 | TRANSACT-SDN-AS TransACT Capital Communications Pty Limited,AU
7727    | 131.221.8.3      | 131.221.8.0/22      | HN | lacnic   | 2014-10-03 | Hondutel,HN
7727    | 181.210.85.134   | 181.210.64.0/18     | HN | lacnic   | 2012-09-25 | Hondutel,HN
7738    | 186.242.199.238  | 186.242.192.0/19    | BR | lacnic   | 2010-09-22 | Telemar Norte Leste S.A.,BR
7738    | 187.13.202.151   | 187.13.192.0/19     | BR | lacnic   | 2008-09-08 | Telemar Norte Leste S.A.,BR
7753    | 209.240.65.185   | 209.240.64.0/19     | US | arin     |            | IPHOUSE-1 - ipHouse,US
7765    | 199.58.81.190    | 199.58.81.0/24      | CA | arin     | 2011-12-09 | KOUMBIT - Koumbit,CA
7782    | 216.67.52.130    | 216.67.0.0/17       | US | arin     | 2005-03-09 | ALSK-7782 - Alaska Communications Systems Group, Inc.,US
7784    | 209.190.208.210  | 209.190.192.0/18    | US | arin     |            | ATLANTECH - Atlantech Online, Inc.,US
7788    | 64.26.141.58     | 64.26.128.0/18      | CA | arin     | 2000-01-03 | MAGMA-COMM - Magma Communications Ltd.,CA
7794    | 23.248.4.194     | 23.248.0.0/17       | CA | arin     | 2013-10-17 | GOLDEN - Golden Triangle On Line,CA
7794    | 23.248.4.194     | 23.248.0.0/17       | CA | arin     | 2013-10-17 | GOLDEN - Golden Triangle On Line,CA
7861    | 209.91.88.130    | 209.91.88.0/23      | CA | arin     |            | TELUS-7861 - TELUS Communications Inc.,CA
7922    | 107.3.190.153    | 107.2.0.0/15        | US | arin     | 2010-06-29 | COMCAST-7922 - Comcast Cable Communications, Inc.,US
7922    | 107.3.233.242    | 107.2.0.0/15        | US | arin     | 2010-06-29 | COMCAST-7922 - Comcast Cable Communications, Inc.,US
7922    | 162.17.164.1     | 162.17.0.0/16       | US | arin     | 2013-02-07 | COMCAST-7922 - Comcast Cable Communications, Inc.,US
7922    | 173.11.64.93     | 173.8.0.0/13        | US | arin     | 2008-05-05 | COMCAST-7922 - Comcast Cable Communications, Inc.,US
7922    | 173.12.123.94    | 173.8.0.0/13        | US | arin     | 2008-05-05 | COMCAST-7922 - Comcast Cable Communications, Inc.,US
7922    | 173.14.73.185    | 173.8.0.0/13        | US | arin     | 2008-05-05 | COMCAST-7922 - Comcast Cable Communications, Inc.,US
7922    | 173.161.199.53   | 173.160.0.0/13      | US | arin     | 2009-04-10 | COMCAST-7922 - Comcast Cable Communications, Inc.,US
7922    | 173.161.81.177   | 173.160.0.0/13      | US | arin     | 2009-04-10 | COMCAST-7922 - Comcast Cable Communications, Inc.,US
7922    | 173.164.200.74   | 173.160.0.0/13      | US | arin     | 2009-04-10 | COMCAST-7922 - Comcast Cable Communications, Inc.,US
7922    | 173.167.0.106    | 173.160.0.0/13      | US | arin     | 2009-04-10 | COMCAST-7922 - Comcast Cable Communications, Inc.,US
7922    | 173.167.78.142   | 173.160.0.0/13      | US | arin     | 2009-04-10 | COMCAST-7922 - Comcast Cable Communications, Inc.,US
7922    | 173.8.47.65      | 173.8.0.0/13        | US | arin     | 2008-05-05 | COMCAST-7922 - Comcast Cable Communications, Inc.,US
7922    | 173.9.104.45     | 173.8.0.0/13        | US | arin     | 2008-05-05 | COMCAST-7922 - Comcast Cable Communications, Inc.,US
7922    | 174.49.188.120   | 174.48.0.0/12       | US | arin     | 2008-11-18 | COMCAST-7922 - Comcast Cable Communications, Inc.,US
7922    | 174.52.57.90     | 174.48.0.0/12       | US | arin     | 2008-11-18 | COMCAST-7922 - Comcast Cable Communications, Inc.,US
7922    | 174.53.172.209   | 174.48.0.0/12       | US | arin     | 2008-11-18 | COMCAST-7922 - Comcast Cable Communications, Inc.,US
7922    | 174.53.45.171    | 174.48.0.0/12       | US | arin     | 2008-11-18 | COMCAST-7922 - Comcast Cable Communications, Inc.,US
7922    | 174.55.239.26    | 174.48.0.0/12       | US | arin     | 2008-11-18 | COMCAST-7922 - Comcast Cable Communications, Inc.,US
7922    | 174.60.112.117   | 174.48.0.0/12       | US | arin     | 2008-11-18 | COMCAST-7922 - Comcast Cable Communications, Inc.,US
7922    | 174.61.162.234   | 174.48.0.0/12       | US | arin     | 2008-11-18 | COMCAST-7922 - Comcast Cable Communications, Inc.,US
7922    | 174.61.244.230   | 174.48.0.0/12       | US | arin     | 2008-11-18 | COMCAST-7922 - Comcast Cable Communications, Inc.,US
7922    | 174.62.70.109    | 174.48.0.0/12       | US | arin     | 2008-11-18 | COMCAST-7922 - Comcast Cable Communications, Inc.,US
